                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7541,                 8.8611,                 1.4913,                 0.0003,                0.09091,                0.00017,                  5e-05,                 2.2749,                 9.8779,                 1.1941,                 0.0001,                 0.0001,                 0.0001
                      1,                 2.0319,                 7.0234,                 1.0776,                0.00121,                0.36364,                 0.0013,                0.00054,                 2.0897,                  7.074,                 1.0154,             0.00021319,             0.00021319,             0.00021319
                      2,                 1.7573,                 5.8329,                0.97316,                0.00091,                0.27273,                0.00089,                 0.0004,                 1.9448,                 6.8125,                 1.0173,             0.00031896,             0.00031896,             0.00031896
                      3,                 1.6143,                 3.9178,                 1.0048,                0.00091,                0.27273,                0.00087,                0.00046,                 1.5891,                 6.7615,                0.94999,             0.00041731,             0.00041731,             0.00041731
                      4,                 1.6865,                  4.248,                 1.0964,                0.00152,                0.45455,                0.00169,                0.00049,                 1.6351,                 6.1954,                0.88765,             0.00050822,             0.00050822,             0.00050822
                      5,                 1.8538,                 5.0968,                0.99133,                0.00182,                0.54545,                0.00199,                0.00054,                 1.6703,                 6.3594,                0.87998,             0.00059172,             0.00059172,             0.00059172
                      6,                 2.0252,                 3.7855,                0.99191,                0.00182,                0.54545,                0.00209,                0.00065,                  1.605,                 7.6055,                0.89707,             0.00066779,             0.00066779,             0.00066779
                      7,                 1.9159,                   3.39,                 1.1129,                0.00182,                0.54545,                0.00198,                0.00073,                  1.515,                 7.1955,                0.89252,             0.00073643,             0.00073643,             0.00073643
                      8,                 1.6949,                  3.458,                 1.0179,                0.00212,                0.63636,                0.00245,                0.00106,                 1.3619,                 5.5595,                0.88859,             0.00079765,             0.00079765,             0.00079765
                      9,                 1.9514,                 4.1742,                 1.0204,                0.00303,                0.90909,                0.00581,                 0.0025,                 1.8542,                 5.3967,                0.95509,             0.00085144,             0.00085144,             0.00085144
                     10,                 1.9737,                 3.9463,                 1.0223,                0.02906,                0.18182,                0.02492,                 0.0121,                 1.7771,                 5.1183,                0.94067,             0.00089781,             0.00089781,             0.00089781
                     11,                 1.7556,                 4.4644,                0.98919,                0.00578,                0.09091,                0.01236,                0.00514,                 1.6715,                 18.091,                0.91945,             0.00093676,             0.00093676,             0.00093676
                     12,                 1.8194,                 3.4965,                0.92472,                      1,                0.17318,                0.86867,                0.50343,                 1.6678,                 4.5481,                0.94615,             0.00096828,             0.00096828,             0.00096828
                     13,                 1.6108,                  3.213,                 0.9981,                      1,                0.20862,                0.81763,                0.47363,                 1.6734,                 4.4796,                0.96408,             0.00099237,             0.00099237,             0.00099237
                     14,                 1.6528,                 3.2705,                 1.0755,                      1,                0.20862,                0.81763,                0.47363,                 1.6734,                 4.4796,                0.96408,               0.001009,               0.001009,               0.001009
                     15,                 1.7503,                  3.191,                 1.0753,                      1,                0.21991,                0.75905,                0.44509,                 1.6788,                 4.4483,                 1.0309,              0.0010183,              0.0010183,              0.0010183
                     16,                  1.855,                 2.9004,                 1.0458,                      1,                0.66242,                0.95171,                0.49238,                 1.4884,                 4.0324,                 1.0448,                0.00101,                0.00101,                0.00101
                     17,                 1.5615,                 4.0649,                0.92495,                0.60407,                0.27827,                0.64488,                 0.3232,                 1.5188,                 4.3241,                 1.0346,                0.00101,                0.00101,                0.00101
                     18,                 1.7862,                 2.9249,                 1.0443,                0.60407,                0.27827,                0.64488,                 0.3232,                 1.5188,                 4.3241,                 1.0346,             0.00094812,             0.00094812,             0.00094812
                     19,                 1.6146,                 2.6547,                 0.9782,                0.35483,                0.60115,                0.35126,                0.18132,                 1.5331,                 4.3202,                 1.0646,             0.00088625,             0.00088625,             0.00088625
                     20,                 1.6493,                 3.3529,                0.96829,                0.52546,                0.81818,                0.57996,                0.34701,                 1.2926,                  3.701,                 1.0369,             0.00082438,             0.00082438,             0.00082438
                     21,                 1.6738,                 2.9866,                 1.0142,                0.63612,                0.95493,                0.80505,                0.44732,                 1.3327,                 3.5497,                 1.0446,              0.0007625,              0.0007625,              0.0007625
                     22,                 1.5703,                  2.888,                0.98337,                0.63612,                0.95493,                0.80505,                0.44732,                 1.3327,                 3.5497,                 1.0446,             0.00070063,             0.00070063,             0.00070063
                     23,                 1.6506,                 2.8365,                 1.0724,                0.78354,                0.54545,                0.85107,                0.40065,                  1.548,                  3.594,                  1.044,             0.00063875,             0.00063875,             0.00063875
                     24,                 1.6469,                  2.509,                 1.0419,                      1,                0.80892,                 0.9875,                0.45691,                 1.6699,                  3.598,                 1.0585,             0.00057688,             0.00057688,             0.00057688
                     25,                 1.7644,                   3.11,                 0.9822,                0.98856,                      1,                  0.995,                0.50022,                 1.5379,                 3.4129,                 1.0229,               0.000515,               0.000515,               0.000515
                     26,                 1.5493,                  3.229,                 1.0031,                0.98856,                      1,                  0.995,                0.50022,                 1.5379,                 3.4129,                 1.0229,             0.00045313,             0.00045313,             0.00045313
                     27,                  1.523,                 2.7747,                 1.0442,                0.97966,                      1,                  0.995,                 0.5344,                 1.3845,                 3.2098,                 1.0057,             0.00039125,             0.00039125,             0.00039125
                     28,                 1.3697,                 2.2089,                0.94765,                0.99962,                      1,                  0.995,                0.60334,                 1.2896,                 2.9874,                 1.0147,             0.00032938,             0.00032938,             0.00032938
                     29,                 1.3407,                 2.5248,                0.97394,                      1,                0.99649,                  0.995,                0.64324,                 1.2367,                 2.8403,                 1.0155,              0.0002675,              0.0002675,              0.0002675
                     30,                 1.3049,                 4.1925,                 0.9967,                      1,                0.99649,                  0.995,                0.64324,                 1.2367,                 2.8403,                 1.0155,             0.00020562,             0.00020562,             0.00020562
                     31,                  1.698,                 2.8397,                  1.153,                      1,                 0.9956,                  0.995,                0.66284,                 1.2136,                 2.8059,                 1.0111,             0.00014375,             0.00014375,             0.00014375
