                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7541,                 8.8611,                 1.4913,                 0.0003,                0.09091,                0.00017,                  5e-05,                 2.2749,                 9.8779,                 1.1941,                 0.0001,                 0.0001,                 0.0001
                      1,                 2.0283,                 7.0134,                 1.0765,                0.00121,                0.36364,                0.00129,                0.00051,                 2.0903,                 7.0077,                 1.0142,              0.0002166,              0.0002166,              0.0002166
                      2,                 1.7517,                 5.8111,                0.97267,                0.00091,                0.27273,                0.00089,                0.00042,                 1.9467,                 6.7249,                 1.0102,             0.00032948,             0.00032948,             0.00032948
                      3,                 1.5979,                 3.9237,                 1.0015,                0.00121,                0.36364,                0.00138,                0.00048,                 1.6365,                 6.7149,                0.94258,             0.00043865,             0.00043865,             0.00043865
                      4,                 1.7109,                 4.1854,                 1.0988,                0.00152,                0.45455,                0.00187,                0.00081,                 1.6086,                 6.1854,                0.88895,             0.00054411,             0.00054411,             0.00054411
                      5,                 1.8435,                 5.0109,                 1.0029,                0.00182,                0.54545,                0.00246,                0.00077,                 1.6941,                 6.2572,                0.89682,             0.00064586,             0.00064586,             0.00064586
                      6,                  2.015,                 3.6103,                0.99148,                0.00182,                0.54545,                0.00192,                0.00065,                 1.6774,                 8.3313,                0.91187,             0.00074389,             0.00074389,             0.00074389
                      7,                 1.8594,                  3.449,                 1.1159,                0.00212,                0.63636,                0.00261,                0.00092,                 1.6418,                  5.826,                0.92039,             0.00083822,             0.00083822,             0.00083822
                      8,                  1.697,                 3.4783,                 1.0543,                0.00273,                0.81818,                0.00416,                 0.0016,                 1.5552,                 5.6288,                0.92138,             0.00092882,             0.00092882,             0.00092882
                      9,                 1.8967,                  3.762,                 1.0144,                0.00352,                0.45455,                0.09988,                0.04021,                 1.7427,                 5.2584,                 0.9224,              0.0010157,              0.0010157,              0.0010157
                     10,                 1.8379,                 3.7402,                 1.0038,                0.06325,                0.09091,                0.01856,                0.00821,                 1.6637,                 5.3824,                0.93976,              0.0010989,              0.0010989,              0.0010989
                     11,                 1.6708,                 3.9722,                 1.0002,                0.00667,                      1,                0.18309,                0.07765,                 1.8052,                  4.745,                 1.0648,              0.0011784,              0.0011784,              0.0011784
                     12,                 1.7665,                 3.0237,                0.94157,                0.33235,                0.36364,                0.31027,                0.16027,                 1.7391,                 4.7942,                 1.0711,              0.0012541,              0.0012541,              0.0012541
                     13,                 1.4953,                 2.8457,                  1.028,                0.04969,                0.45455,                0.04776,                 0.0255,                 1.5657,                 8.5763,                 1.0821,              0.0013262,              0.0013262,              0.0013262
                     14,                 1.7951,                 3.4148,                 1.0826,                0.04969,                0.45455,                0.04776,                 0.0255,                 1.5657,                 8.5763,                 1.0821,              0.0013945,              0.0013945,              0.0013945
                     15,                 1.7508,                 3.2523,                 1.0981,                0.05569,                0.27273,                0.08309,                0.04462,                 1.5448,                 8.2614,                 1.2131,              0.0014591,              0.0014591,              0.0014591
                     16,                 1.8151,                 2.9602,                 1.0157,                      1,                 0.9799,                  0.995,                 0.6087,                 1.4915,                  3.941,                 1.1753,               0.001505,               0.001505,               0.001505
                     17,                 1.4468,                  3.478,                 0.9228,                0.96655,                0.90909,                  0.971,                 0.5687,                 1.5225,                 3.8127,                  1.169,               0.001505,               0.001505,               0.001505
                     18,                   1.71,                  2.756,                 1.0593,                0.96655,                0.90909,                  0.971,                 0.5687,                 1.5225,                 3.8127,                  1.169,              0.0014741,              0.0014741,              0.0014741
                     19,                 1.7064,                 2.4007,                 1.0138,                0.91103,                0.93238,                   0.98,                0.53854,                 1.6041,                 3.8793,                 1.1962,              0.0014431,              0.0014431,              0.0014431
                     20,                 1.7357,                 2.9627,                 1.0011,                0.99547,                      1,                  0.995,                0.55243,                 1.5891,                 3.6966,                 1.1828,              0.0014122,              0.0014122,              0.0014122
                     21,                 1.7538,                  2.649,                 1.0527,                      1,                0.96993,                  0.995,                0.46691,                 1.8789,                  3.876,                  1.198,              0.0013813,              0.0013813,              0.0013813
                     22,                 1.6993,                 2.7902,                 1.0105,                      1,                0.96993,                  0.995,                0.46691,                 1.8789,                  3.876,                  1.198,              0.0013503,              0.0013503,              0.0013503
                     23,                 2.0522,                  3.032,                  1.153,                0.69655,                0.72727,                 0.8204,                0.34568,                 2.1821,                  3.874,                 1.2493,              0.0013194,              0.0013194,              0.0013194
                     24,                 1.9921,                 2.6605,                 1.1152,                0.66182,                0.71273,                0.63962,                0.28164,                  2.378,                 3.8876,                 1.2979,              0.0012884,              0.0012884,              0.0012884
                     25,                 2.0703,                 3.0425,                 1.0758,                0.95933,                0.90909,                0.90515,                0.36173,                 1.9796,                 3.5194,                 1.1051,              0.0012575,              0.0012575,              0.0012575
